
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
284 	 find progeny of 2296(2.1)       2296(2.1) 	KERR'S PINK x CPC 1673 (adg) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
285 	 find progeny of 2296(2.25)       2296(2.25) 	KERR'S PINK x CPC 1673 (adg) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
48 	 find progeny of 23-16C/73       23-16C/73 	LOSHITSKY x WULKAN 	 SU 				
147 	 find progeny of 232/77/2610       232/77/2610 	22/71/2176 x M 69-78 	 BRD 		BM 77-232 	KARTOFFELZUCHT BOHM 	
286 	 find progeny of 2323C(1)       2323C(1) 	1531(3) x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
287 	 find progeny of 2356(4)       2356(4) 	CRAIGS DEFIANCE x 2296(2.1) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
288 	 find progeny of 2356(53)       2356(53) 	CRAIGS DEFIANCE x 2296(2.1) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
289 	 find progeny of 2363D(6)       2363D(6) 	2296(2.25) x ROSLIN SASUMUA 	 GB 			SCOTTISH PLANT BREEDING STATION 	
290 	 find progeny of 2371B(1)       2371B(1) 	2266BC(58) x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
291 	 find progeny of 2371B(7)       2371B(7) 	2266BC(58) x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
292 	 find progeny of 2434C(5)       2434C(5) 	885(4) x 1454C 	 GB 			SCOTTISH PLANT BREEDING STATION 	
293 	 find progeny of 2442-3       2442-3 	K-176 x AGRONOMITSJESKY 	 SU 				
294 	 find progeny of 2497-6       2497-6 	OLEV x BALTYK 	 SU 				
295 	 find progeny of 2497-9       2497-9 	OLEV x BALTYK 	 SU 				
49 	 find progeny of 25(2)       25(2) 	JULI x FLOURBALL 	 GB 			SCOTTISH PLANT BREEDING STATION 	
148 	 find progeny of 251/67       251/67 	MPI 61.303/34 x WXX VIII.1272 	 BRD 				
296 	 find progeny of 2534(36)       2534(36) 	2371B(1) x 2048C(8) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
297 	 find progeny of 2573(2)       2573(2) 	ROSLIN EBURU x 2434C(5) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
149 	 find progeny of 263       263 	DESIREE x ? 	 BRD 				
150 	 find progeny of 267.04       267.04 	146.22 x HANSA 	 BRD 				
299 	 find progeny of 2680/77       2680/77 	1505/70 x CULPA 	 BRD 				
300 	 find progeny of 2693ABC(2)       2693ABC(2) 	CRAIGS ROYAL x 2356(53) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
404 	 find progeny of 26995       26995 	EPOKA x POLONIA 	 POL 				
301 	 find progeny of 2700B(8)       2700B(8) 	PENTLAND ACE x 2356(4) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
302 	 find progeny of 2726C/49       2726C/49 	? x FERA 	 SU 				
303 	 find progeny of 2749C(12)       2749C(12) 	2221B(1) x 2371B(7) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
304 	 find progeny of 2786-27       2786-27 	2442-3 x 706 	 SU 				
50 	 find progeny of 28-1       28-1 	3936-12 x 4258-12 	 SU 				
51 	 find progeny of 28/47/244 B       28/47/244 B 	AQUILA x ACKERSEGEN 	 BRD 				
305 	 find progeny of 2814-77       2814-77 	RAZVARISTY x 706 	 SU 				
306 	 find progeny of 2814-83       2814-83 	RAZVARISTY x 706 	 SU 				
307 	 find progeny of 2814A(1)       2814A(1) 	2323C(1) x US45-4 	 GB 			SCOTTISH PLANT BREEDING STATION 	
308 	 find progeny of 2827-40       2827-40 	TEMP x 706 	 SU 				
309 	 find progeny of 2879(9)       2879(9) 	(CRAIGS ROYAL x 2499B(36)) x 2499B(36) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
310 	 find progeny of 2895FG(6)       2895FG(6) 	ROSLIN RIVIERA x 2534(36) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
151 	 find progeny of 290/76       290/76 	CORDIA x 228/64 	 BRD 				
152 	 find progeny of 296-02       296-02 	Z192 x RUA 	 NZL 				
153 	 find progeny of 297/71       297/71 	223/62 x 68/65 	 BRD 				
13 	 find progeny of 2CRI-1149-1-78       2CRI-1149-1-78 	RECENT x C1086-22-75 	 BRA 			EMBRAPA 	
14 	 find progeny of 2LS-8       2LS-8 	EARLAINE x CSE-2 	 USA 				
16 	 find progeny of 2LY-13       2LY-13 	USDA B 35-163 x CSE-2 	 USA 				
15 	 find progeny of 2MR-1       2MR-1 	USDA 528-170 x CUZ-15 	 USA 				
17 	 find progeny of 2X-76-9N       2X-76-9N 	SAPHIR x 463-6N 	 SU 				
18 	 find progeny of 3-62.903/151 N       3-62.903/151 N 	KA. 56.170/6 x KA. 56.24/75 	 DDR 				
19 	 find progeny of 3-63.2/18       3-63.2/18 	SASKIA x LU. 51.10/39 	 DDR 				
20 	 find progeny of 3-65.507/53       3-65.507/53 	SPEKULA x AXILIA 	 DDR 				
21 	 find progeny of 3-67.599/1 N       3-67.599/1 N 	KA. 59.415/6 x KA. 56.125/188 	 DDR 				
22 	 find progeny of 3-69.121/55 N       3-69.121/55 N 	KA. 61.659/230 x WE. 58.7/49 N 	 DDR 				
23 	 find progeny of 3-70.326/35       3-70.326/35 	KA. 61.659/230 x LU. 63.363/119 	 DDR 				
24 	 find progeny of 3-74.562/3       3-74.562/3 	3-62.903/151 N x 3-67.599/1 N 	 DDR 				
26 	 find progeny of 3-PD-23       3-PD-23 	2-TG-8 x 3-EY-3 	 MEX 				
9047 	 find progeny of 3.169 010-85       3.169 010-85 	3.206 009-77 x 6.28229006-79 	 DDR 				
9048 	 find progeny of 3.169 010-86       3.169 010-86 	3.206 009-77 x 6.28229006-79 	 DDR 				
9049 	 find progeny of 3.422 009-78       3.422 009-78 	1.17 006-71 x KORETTA 	 DDR 				
311 	 find progeny of 3000-9       3000-9 	2827-40 x 2497-6 	 SU 				
154 	 find progeny of 302.01       302.01 	M 109-3 x 119-227 	 NZL 				
155 	 find progeny of 305       305 	dms-hybrid 	 SU 				
312 	 find progeny of 3069D(4)       3069D(4) 	2182EF(7) x M 109-3 	 GB 			SCOTTISH PLANT BREEDING STATION 	
313 	 find progeny of 3070D(3)       3070D(3) 	2182EF(7) x M 109-3 	 GB 			SCOTTISH PLANT BREEDING STATION 	
314 	 find progeny of 3070D(4)       3070D(4) 	2182EF(7) x M 109-3 	 GB 			SCOTTISH PLANT BREEDING STATION 	
315 	 find progeny of 3071AB(1)       3071AB(1) 	2182EF(7) x M 136-6 	 GB 			SCOTTISH PLANT BREEDING STATION 	
